Marca;Submarca;Modelo;Trans.;Comb.;Cilindros;Potencia (HP);Tamaño (L);Categoría
FORD;FUSION;2015;CVT;Gasolina;4;188;2;AUTOS COMPACTOS
FORD;FUSION;2016;CVT;Gasolina;4;188;2;AUTOS COMPACTOS
FORD;FUSION;2017;CVT;Gasolina;4;188;2;AUTOS COMPACTOS
FORD;FUSION;2018;AUT;Gasolina;4;188;2;AUTOS COMPACTOS
FORD;FUSION;2011;CVT;Gasolina;4;156;2,5;AUTOS COMPACTOS
FORD;FUSION;2012;CVT;Gasolina;4;156;2,5;AUTOS COMPACTOS
HONDA;CIVIC;2013;CVT;Gasolina;4;90;1,5;AUTOS COMPACTOS
HONDA;CIVIC;2014;CVT;Gasolina;4;90;1,5;AUTOS COMPACTOS
HONDA;CIVIC;2012;CVT;Gasolina;4;90;1,5;AUTOS COMPACTOS
HONDA;CIVIC HIBRIDO;2011;CVT;Gasolina;4;110;1,3;AUTOS COMPACTOS
SEAT;TOLEDO;2015;MAN;Gasolina;4;105;1,2;AUTOS COMPACTOS
SEAT;TOLEDO;2016;DSG;Gasolina;4;125;1,4;AUTOS COMPACTOS
SEAT;TOLEDO;2017;DSG;Gasolina;4;125;1,4;AUTOS COMPACTOS
MAZDA;MAZDA2;2016;AUT;Gasolina;4;102;1,5;AUTOS COMPACTOS
MAZDA;MAZDA2;2016;AUT;Gasolina;4;106;1,5;AUTOS COMPACTOS
MAZDA;MAZDA2;2016;AUT;Gasolina;4;106;1,5;AUTOS COMPACTOS
MAZDA;MAZDA2;2017;AUT;Gasolina;4;106;1,5;AUTOS COMPACTOS
MAZDA;MAZDA2;2017;AUT;Gasolina;4;106;1,5;AUTOS COMPACTOS
MAZDA;MAZDA2;2017;AUT;Gasolina;4;106;1,5;AUTOS COMPACTOS
VW;GOLF;2015;DSG;Gasolina;4;140;1,4;AUTOS COMPACTOS
SEAT;TOLEDO;2016;MAN;Gasolina;4;110;1,2;AUTOS COMPACTOS
SEAT;TOLEDO;2017;MAN;Gasolina;4;110;1,2;AUTOS COMPACTOS
SUZUKI;S-CROSS;2016;CVT;Gasolina;4;118;1,6;AUTOS COMPACTOS
SUZUKI;S-CROSS;2015;CVT;Gasolina;4;118;1,6;AUTOS COMPACTOS
SUZUKI;S-CROSS;2017;CVT;Gasolina;4;118;1,6;AUTOS COMPACTOS
CHEVROLET;CRUZE;2018;MAN;Gasolina;4;148;1,4;AUTOS COMPACTOS
MAZDA;MAZDA2;2016;MAN;Gasolina;4;102;1,5;AUTOS COMPACTOS
MAZDA;MAZDA2;2016;MAN;Gasolina;4;106;1,5;AUTOS COMPACTOS
